student_id,classes_attended,classes_total,study_hours_per_week,assignments_submitted,assignments_total,quiz_points_earned,quiz_points_possible,discussion_posts,office_hours_visits,sleep_hours,work_hours_per_week,commute_minutes,prior_gpa,late_submissions,practice_exam_points,practice_exam_possible,lms_logins_last_30_days
S00031,18,30,7.6,8,11,86,110,6,3,7.6,5.4,26.1,2.88,5,76,100,39
S00032,15,24,10.1,10,11,95,110,5,3,6.7,13.2,9.2,3.1,3,71,100,43
S00033,25,28,6.0,8,10,80,110,2,3,5.8,19.1,16.2,3.04,3,69,100,39
S00034,17,28,1.3,7,11,50,90,5,1,7.9,14.2,33.0,2.19,5,46,100,31
S00035,19,28,9.9,10,11,78,110,6,3,7.3,10.5,27.5,3.56,2,58,80,62
S00036,22,30,11.3,12,13,79,110,10,4,7.2,14.8,36.3,1.82,3,74,100,57
S00037,26,30,9.5,9,10,61,100,4,6,8.0,8.8,17.6,2.74,0,56,100,60
S00038,21,28,10.5,8,10,76,120,2,0,6.9,16.7,29.1,2.9,4,75,90,30
S00039,18,26,12.1,12,13,61,100,8,3,6.6,34.0,49.1,3.18,4,62,90,28
S00040,23,28,9.5,12,12,64,90,9,4,7.4,21.0,39.9,2.86,0,61,80,48
S00041,15,24,5.6,10,13,99,120,6,5,6.2,11.9,27.2,2.51,5,51,80,25
S00042,24,30,9.7,11,13,76,110,10,2,7.3,7.3,12.6,3.22,1,60,80,18
S00043,20,24,10.9,9,12,67,120,8,5,8.7,6.7,25.8,1.73,1,62,100,54
S00044,20,26,7.6,10,13,82,120,4,3,7.4,11.3,30.0,2.72,2,64,90,38
S00045,16,28,6.5,6,10,97,120,3,2,6.5,16.0,48.7,2.69,9,63,80,41
S00046,19,24,5.6,6,10,64,100,11,1,7.4,15.1,10.2,2.47,3,66,100,44
S00047,21,30,6.8,8,12,72,90,9,4,7.6,21.0,57.2,2.77,4,79,100,58
S00048,21,28,7.7,9,13,58,120,11,3,7.1,13.7,45.1,2.68,3,88,100,43
S00049,21,24,8.5,9,10,120,120,7,3,5.7,0,44.0,3.94,3,69,80,17
S00050,21,26,4.6,8,12,80,120,3,5,8.3,0,19.2,2.7,3,60,90,28
S00051,21,24,8.1,11,11,73,120,5,0,6.5,9.7,30.1,2.83,1,78,100,47
S00052,14,24,8.3,9,11,45,90,6,4,6.2,4.6,23.7,2.69,2,43,80,30
S00053,15,30,2.7,6,10,57,90,0,3,7.2,6.4,28.9,2.37,4,30,80,7
S00054,13,24,5.2,5,13,85,100,4,1,7.3,14.4,41.1,2.8,5,65,100,26
S00055,24,28,10.3,9,12,46,90,6,1,6.9,5.1,10.9,2.49,4,61,100,38
S00056,19,28,0.8,7,10,67,120,4,0,6.6,8.5,15.5,2.74,5,51,90,25
S00057,16,24,5.4,8,13,76,110,2,3,7.8,0.5,15.5,2.42,5,66,90,25
S00058,21,30,15.2,9,11,101,110,5,2,7.4,16.5,16.0,3.16,2,81,90,60
S00059,17,28,1.3,4,11,57,90,2,1,6.0,19.3,4.0,2.49,9,51,80,23
S00060,20,24,7.9,9,11,64,110,6,2,7.4,19.3,1.7,3.01,4,80,90,38
S00061,10,24,3.3,5,12,79,110,0,0,7.6,14.2,49.6,3.23,9,59,80,4
S00062,22,30,9.2,11,12,52,90,8,2,7.0,2.4,14.9,2.12,5,57,80,40
S00063,16,24,1.0,7,13,60,90,6,1,5.9,13.7,13.4,2.08,6,46,80,22
S00064,18,26,8.3,8,11,70,110,7,3,7.5,8.5,15.2,3.1,3,79,100,12
S00065,12,28,2.6,7,11,86,100,5,1,5.8,27.3,63.6,3.26,6,52,100,2
S00066,28,30,12.0,11,12,86,110,9,2,6.7,13.7,34.5,2.91,0,64,90,50
S00067,28,28,6.2,9,10,83,110,4,5,7.7,0.8,0,3.19,3,56,100,34
S00068,17,28,6.5,11,12,82,110,2,0,7.4,1.9,43.4,3.88,4,80,90,22
S00069,22,30,8.0,6,10,66,110,2,1,6.2,9.8,38.6,2.99,9,65,100,10
S00070,23,30,5.6,9,11,84,110,7,3,7.0,17.0,50.3,2.89,5,58,80,41
S00071,22,28,5.0,8,11,57,90,5,1,6.7,19.0,28.9,3.55,6,76,100,14
S00072,16,28,6.3,7,10,73,110,3,3,5.3,14.4,33.7,2.82,9,71,90,26
S00073,23,30,8.4,7,10,78,110,5,3,8.3,7.9,32.5,3.37,3,58,100,55
S00074,24,30,6.1,6,10,68,100,5,2,8.2,17.1,33.7,2.19,4,48,100,31
S00075,23,24,14.4,12,12,96,110,13,5,5.5,26.3,31.8,2.67,2,81,90,70
S00076,22,24,10.4,11,13,68,90,11,4,7.6,13.7,33.7,2.91,1,69,100,67
S00077,20,26,8.6,9,13,71,100,6,4,6.8,30.4,32.0,2.69,5,90,100,35
S00078,15,26,12.1,9,13,79,120,7,3,7.7,28.3,52.3,3.51,7,68,100,47
S00079,21,26,13.0,9,12,65,90,5,2,8.0,12.4,29.5,3.45,4,60,80,51
S00080,19,26,6.5,8,12,68,90,7,2,6.9,6.8,22.0,2.83,5,63,90,41
S00081,22,26,7.8,10,10,77,110,5,6,5.8,20.7,51.5,2.86,3,61,100,27
S00082,19,30,10.0,12,13,83,110,10,3,4.5,26.3,40.3,3.1,4,72,80,35
S00083,19,30,12.1,9,10,54,90,0,2,7.1,21.5,32.3,3.48,7,55,90,15
S00084,18,26,3.8,8,11,66,90,7,2,5.7,19.9,29.9,2.56,5,65,90,38
S00085,16,24,5.7,12,13,72,120,4,0,6.6,0,25.6,3.47,8,50,80,56
S00086,22,30,9.4,9,11,74,100,5,4,7.8,3.1,0,2.66,8,64,90,21
S00087,18,30,6.6,5,11,100,110,1,0,5.9,9.5,40.0,2.9,5,72,90,35
S00088,21,30,8.7,12,12,88,120,2,2,6.8,16.8,26.4,2.43,4,59,80,51
S00089,19,28,8.3,8,11,81,110,7,4,5.7,35,43.4,2.82,7,74,90,13
S00090,20,24,9.0,8,10,94,120,7,3,6.2,23.0,26.0,3.03,9,88,90,40
S00091,18,28,8.9,6,10,69,120,4,0,6.9,19.3,33.6,2.95,2,64,90,36
S00092,20,24,7.2,7,10,61,90,8,2,7.6,24.9,10.6,3.21,4,60,80,29
S00093,21,30,13.1,9,11,67,90,7,0,6.2,19.7,46.6,2.65,4,77,100,54
S00094,22,24,8.0,11,11,90,120,7,2,6.0,0.3,12.4,2.63,1,72,100,46
S00095,22,24,4.7,10,11,64,90,7,5,7.6,6.2,0,2.39,7,74,100,51
S00096,22,26,11.6,8,10,63,90,11,4,6.2,8.5,0.7,2.52,3,75,100,47
S00097,21,28,6.6,9,11,78,110,5,2,7.4,6.3,46.0,2.7,5,44,80,28
S00098,22,28,12.6,11,12,86,110,5,2,7.4,17.7,48.4,4.0,5,90,90,7
S00099,15,24,9.1,8,11,84,100,4,4,7.3,16.8,12.2,3.11,4,85,100,49
S00100,26,28,13.5,10,12,96,110,6,2,8.8,0,26.1,3.1,1,81,100,59
S00101,22,28,14.8,10,11,74,110,12,1,6.7,16.8,24.1,2.79,0,62,90,42
S00102,15,26,5.2,6,10,46,110,6,2,5.7,25.0,75.3,2.48,5,60,100,38
S00103,23,28,5.1,11,12,77,120,3,2,7.1,11.2,17.8,3.39,3,72,90,37
S00104,15,24,1.4,8,13,43,90,5,0,7.9,2.5,6.1,2.33,5,42,80,10
S00105,20,30,11.3,8,10,83,100,1,1,7.8,24.0,37.9,3.51,1,47,80,49
S00106,18,26,6.6,8,10,83,110,2,3,6.2,11.9,23.0,2.23,1,30,80,25
S00107,21,30,3.7,4,11,53,120,0,0,8.5,0,0.7,2.29,6,34,90,28
S00108,26,26,12.6,10,12,84,110,5,2,7.4,18.0,26.1,3.44,1,56,80,51
S00109,20,30,6.3,8,11,79,110,1,2,8.3,2.2,25.7,3.71,4,68,80,23
S00110,18,24,7.8,9,11,97,120,8,2,8.2,6.1,16.6,2.58,5,61,80,14
S00111,18,28,7.6,10,12,84,120,1,5,7.7,14.4,39.4,3.48,3,68,90,39
S00112,11,28,5.3,7,11,68,90,0,0,9.1,11.8,24.4,3.13,3,64,100,41
S00113,17,24,4.1,8,13,85,100,6,0,8.1,6.2,48.4,3.2,4,54,80,32
S00114,19,26,11.6,10,13,82,90,11,3,7.4,4.3,9.3,3.11,0,65,80,37
S00115,16,26,7.9,7,11,81,120,5,0,7.8,19.0,41.7,2.96,5,70,90,34
S00116,14,24,7.3,7,11,75,110,5,1,7.1,9.6,37.1,2.27,4,53,100,36
S00117,15,26,6.7,7,11,65,110,1,1,7.2,4.3,20.7,2.81,6,64,90,21
S00118,21,26,1.6,7,11,80,110,6,4,8.5,15.4,28.4,2.82,2,75,100,27
S00119,12,26,4.7,7,13,52,100,0,1,6.5,2.1,19.9,2.46,5,27,100,17
S00120,21,26,12.9,11,12,107,120,0,6,6.2,24.5,54.0,3.0,2,100,100,32
S00121,16,24,13.7,12,13,76,100,4,1,5.9,19.2,11.9,3.22,2,75,80,55
S00122,10,28,1.6,4,10,76,100,0,0,7.6,14.9,30.1,2.65,2,44,80,12
S00123,23,30,6.2,9,13,62,90,3,1,5.9,31.2,20.4,2.83,8,81,100,29
S00124,22,30,9.7,8,13,88,90,2,2,9.5,5.2,24.0,3.2,3,73,90,34
S00125,25,30,9.5,12,12,58,90,4,3,6.5,15.5,0,3.1,2,83,100,40
S00126,26,30,9.6,11,11,94,120,8,0,8.1,5.7,33.5,2.45,2,55,90,48
S00127,17,24,9.0,5,10,65,110,1,2,6.1,6.7,0.1,3.13,3,65,80,36
S00128,23,28,9.5,10,11,86,110,10,3,5.4,5.6,71.4,3.27,4,64,90,32
S00129,21,30,14.2,11,11,60,120,12,4,6.7,18.8,35.8,1.81,3,38,80,19
S00130,21,30,3.0,9,12,77,120,9,3,7.4,14.7,38.4,2.59,3,63,100,37
S00131,20,30,11.2,10,12,65,100,3,3,8.5,19.1,22.3,2.59,3,71,100,16
S00132,23,28,1.4,10,13,80,120,4,1,7.9,0,8.9,2.29,0,56,80,38
S00133,18,26,8.8,9,12,67,90,1,0,7.3,14.3,28.6,2.42,5,62,90,15
S00134,27,28,10.8,9,11,107,120,9,4,7.8,10.1,17.1,2.87,3,96,100,50
S00135,15,26,9.4,8,11,51,90,6,1,7.6,13.3,37.9,2.21,4,62,100,39
S00136,17,28,7.2,5,10,69,110,1,2,6.9,11.4,12.6,3.46,5,67,100,37
S00137,19,28,7.6,11,13,76,110,6,2,5.7,31.4,26.7,2.37,3,69,100,15
S00138,22,28,6.7,6,11,73,90,6,1,6.7,9.5,30.6,3.18,5,51,90,25
S00139,20,30,6.8,10,13,64,100,1,2,5.8,18.9,29.5,3.01,3,56,80,31
S00140,20,30,10.2,6,10,51,90,4,1,7.4,21.2,1.6,3.01,2,60,80,15
S00141,9,24,5.2,6,12,73,90,1,0,7.2,24.6,23.4,4.0,6,54,80,10
S00142,15,28,6.3,9,12,73,100,0,0,7.0,12.2,0,2.4,3,49,80,9
S00143,15,30,6.8,8,13,46,90,0,3,6.2,12.3,29.8,2.56,3,44,90,49
S00144,30,30,11.1,11,12,70,110,9,6,6.9,12.7,20.6,2.26,0,48,80,49
S00145,26,26,14.0,9,10,81,110,9,0,7.1,0,33.0,3.61,1,67,90,64
S00146,25,26,9.5,8,11,86,100,6,3,7.4,4.9,44.6,2.75,2,71,100,62
S00147,15,26,5.7,9,12,73,100,8,1,6.2,23.1,50.0,3.22,6,48,80,24
S00148,11,24,5.4,9,13,55,90,2,3,8.0,12.6,24.1,2.43,2,56,90,38
S00149,19,24,10.7,8,10,91,110,8,3,8.1,0,3.6,3.46,3,78,80,50
S00150,15,26,3.6,7,12,65,110,2,0,7.6,13.0,18.7,2.4,3,51,90,24
S00151,20,30,7.3,8,10,56,90,5,3,7.5,23.2,25.4,3.01,4,65,90,25
S00152,21,30,5.0,11,13,103,120,5,3,6.6,0.9,36.9,3.51,4,64,80,35
S00153,21,26,5.9,8,11,80,120,7,3,6.9,8.3,21.0,2.64,3,54,90,29
S00154,17,26,9.4,9,12,69,100,7,2,7.9,15.7,27.8,3.37,4,80,100,27
S00155,15,26,4.3,7,12,102,120,2,0,7.6,19.0,38.9,3.44,7,53,90,16
S00156,17,24,8.7,10,13,71,90,5,4,7.6,15.2,15.6,2.75,3,54,90,26
S00157,23,28,6.7,12,13,79,100,10,2,7.6,18.6,2.2,1.89,2,46,90,34
S00158,16,26,7.0,10,13,79,120,6,2,7.2,22.4,17.0,3.31,4,51,90,25
S00159,16,24,9.5,9,11,80,110,10,2,7.6,11.4,20.1,2.98,4,77,90,51
S00160,25,26,11.4,12,12,87,90,6,2,6.5,9.7,29.4,3.33,3,84,90,67
S00161,21,26,12.6,9,12,86,120,10,1,7.0,25.1,2.7,2.86,7,60,90,40
S00162,26,30,11.0,10,11,87,110,5,3,6.7,17.1,24.4,2.31,2,64,100,34
S00163,11,26,6.3,7,13,62,100,4,1,5.5,16.7,39.7,3.42,3,45,80,44
S00164,24,30,4.0,6,10,73,110,5,1,6.7,19.1,45.0,2.4,3,54,100,22
S00165,19,30,6.9,6,12,61,120,6,0,7.8,11.7,0,2.5,5,56,100,2
S00166,21,24,13.1,10,10,64,90,13,5,7.2,5.6,33.6,2.84,2,84,100,48
S00167,23,28,6.6,8,10,68,90,6,1,6.7,14.0,21.6,2.62,3,61,90,45
S00168,16,24,3.9,3,10,69,110,1,0,6.7,17.8,19.4,3.49,4,40,80,2
S00169,30,30,14.8,9,10,89,90,10,0,7.0,12.3,8.0,3.3,1,62,80,61
S00170,30,30,12.8,13,13,98,120,9,5,5.8,8.5,14.0,2.48,0,74,100,58
S00171,19,30,9.5,10,11,77,110,8,4,7.0,11.0,28.4,2.56,4,63,90,27
S00172,20,24,5.7,6,10,65,90,4,4,6.5,20.6,35.1,2.46,3,53,80,31
S00173,15,24,7.0,9,13,83,120,3,3,7.5,11.1,20.9,2.92,0,52,80,33
S00174,16,24,2.7,8,12,74,100,1,3,6.5,17.7,54.1,2.86,6,39,80,29
S00175,26,30,7.5,9,11,67,90,6,2,8.8,0,22.8,3.12,1,64,90,39
S00176,27,30,13.3,8,10,87,100,6,2,7.7,15.6,22.2,2.87,0,88,90,22
S00177,22,26,15.2,9,12,92,120,5,3,8.2,4.1,26.1,3.09,1,82,100,60
S00178,19,28,10.3,9,13,75,110,9,3,5.9,15.7,50.4,3.18,3,71,90,39
S00179,18,28,0,8,10,64,120,6,2,7.1,19.4,0,2.21,4,42,90,30
S00180,27,28,11.7,13,13,100,120,10,2,6.2,14.6,38.4,2.84,0,68,90,65
S00181,24,30,5.3,9,10,66,100,5,3,5.0,10.6,6.0,2.15,6,56,90,50
S00182,22,30,13.0,10,12,86,110,4,3,6.9,8.5,23.0,3.42,4,89,100,30
S00183,20,24,13.5,9,11,100,110,5,6,7.0,21.5,23.6,2.83,2,81,100,58
S00184,21,26,4.9,7,10,61,110,5,1,7.3,15.1,41.5,2.15,5,50,90,37
S00185,17,26,8.9,8,11,68,100,5,2,6.9,18.4,6.5,2.75,3,67,100,55
S00186,20,30,6.8,11,13,57,110,6,2,8.0,12.3,13.3,2.34,5,71,90,52
S00187,20,30,13.3,13,13,85,100,6,4,6.7,21.0,32.3,2.63,2,64,80,58
S00188,15,28,10.1,10,10,105,120,9,5,6.1,12.5,28.5,2.63,6,92,100,39
S00189,11,28,7.6,12,13,83,120,10,4,6.8,27.0,62.7,2.36,4,46,100,33
S00190,15,28,2.5,9,11,68,100,4,0,7.8,5.2,11.8,2.79,0,67,100,30
S00191,16,28,9.1,7,11,100,120,1,3,7.0,11.2,16.7,3.84,7,61,80,16
S00192,13,26,4.0,8,10,55,90,2,0,8.7,1.0,17.2,2.51,3,62,90,39
S00193,11,24,9.7,8,12,51,90,1,1,6.9,12.9,14.2,2.51,4,87,100,2
S00194,22,24,8.8,11,12,104,120,8,2,7.5,14.8,30.3,2.97,0,68,80,49
S00195,22,24,8.6,8,13,74,90,4,4,8.4,21.7,17.1,2.59,2,56,100,38
S00196,25,30,11.1,7,11,94,110,8,1,6.8,9.7,12.5,2.74,0,62,90,25
S00197,21,28,8.4,9,11,68,90,5,4,7.3,9.5,11.5,2.39,6,49,80,36
S00198,22,28,7.5,10,11,63,110,6,3,7.0,17.9,16.2,2.49,1,47,80,49
S00199,13,24,0,7,11,58,110,1,0,7.5,21.8,31.3,2.71,6,38,90,7
S00200,17,24,3.8,8,12,79,110,7,3,6.7,24.6,36.4,2.98,4,46,80,47
S00201,17,28,8.9,9,10,55,90,10,3,6.3,19.7,49.5,2.66,4,44,100,26
S00202,22,30,4.1,6,12,67,110,7,3,6.3,24.2,39.7,2.0,3,39,90,25
S00203,21,30,4.6,8,12,84,120,1,0,7.7,0,28.6,2.95,3,70,80,39
S00204,17,26,10.4,8,12,100,120,2,2,6.9,12.1,43.7,3.78,5,57,80,21
S00205,18,24,6.0,6,10,70,110,1,1,6.9,8.6,21.8,2.56,4,48,80,40
S00206,21,28,9.9,10,12,100,120,10,2,8.3,8.7,22.9,3.03,0,56,80,41
S00207,17,28,3.6,7,13,50,90,1,1,6.8,22.3,34.7,3.29,7,55,100,29
S00208,24,30,4.4,8,10,78,110,3,1,7.6,8.4,12.0,2.88,5,74,90,37
S00209,21,30,6.5,9,12,75,100,6,4,7.3,8.3,33.2,2.34,6,63,90,28
S00210,26,30,10.6,8,13,74,90,6,1,7.7,10.2,41.7,2.78,0,69,100,36
S00211,19,24,3.5,7,10,102,110,3,1,7.7,12.3,23.2,3.35,6,73,90,22
S00212,10,24,7.4,4,10,54,100,1,0,5.7,20.6,23.9,2.29,2,47,80,2
S00213,23,30,6.9,8,11,69,120,8,2,5.4,8.6,6.9,1.97,3,36,80,48
S00214,21,28,10.0,9,10,70,100,0,1,9.2,5.6,30.8,2.73,5,69,100,29
S00215,18,28,7.7,7,10,91,120,6,1,5.8,6.7,15.8,2.56,5,68,100,24
S00216,22,24,8.0,11,12,110,110,3,1,7.9,12.7,25.4,3.17,5,75,90,26
S00217,16,28,3.0,10,12,63,100,9,3,6.3,0,18.3,2.48,4,54,80,55
S00218,17,28,1.5,5,10,46,90,2,0,5.4,18.8,29.3,3.01,3,39,100,9
S00219,17,24,11.0,10,11,59,90,6,3,5.7,12.9,15.0,2.11,4,75,100,35
S00220,18,26,3.6,9,11,81,120,0,3,6.3,10.5,43.4,3.38,7,50,90,51
S00221,26,30,6.3,12,13,74,110,15,1,6.7,16.3,8.5,2.1,0,80,100,49
S00222,20,30,5.3,9,10,78,120,5,4,5.7,27.3,50.1,3.48,6,83,100,40
S00223,18,24,17.2,10,10,62,90,11,5,8.4,0,23.6,2.9,2,64,80,54
S00224,22,28,4.7,9,13,88,120,8,1,7.5,10.9,7.5,2.5,4,49,100,19
S00225,14,26,0.4,6,12,77,110,0,1,6.8,8.6,48.3,2.86,4,57,100,18
S00226,19,30,0.5,9,12,91,120,0,1,7.2,15.5,2.5,3.31,4,51,90,34
S00227,22,24,11.6,13,13,91,120,11,4,7.0,6.3,30.5,2.68,3,70,90,50
S00228,27,30,10.9,10,11,66,100,13,6,7.5,21.0,25.5,2.3,3,65,80,56
S00229,14,26,4.8,9,11,68,100,9,3,6.4,17.5,18.6,2.67,2,48,100,50
S00230,21,28,10.6,8,11,75,110,6,2,5.3,22.2,51.7,3.06,1,71,100,40
S00231,15,26,9.3,8,11,57,100,5,4,7.7,17.7,56.8,2.38,7,57,100,36
S00232,17,28,8.2,10,13,72,90,5,2,6.2,20.0,55.5,3.89,5,61,80,44
S00233,21,30,4.7,6,12,65,110,7,3,6.2,14.7,37.1,2.65,1,49,80,26
S00234,25,28,14.6,8,13,81,90,5,6,8.2,0,0.1,2.44,0,55,80,56
S00235,22,28,10.0,9,12,90,90,4,4,7.4,15.4,16.2,3.84,4,95,100,28
S00236,18,30,15.8,11,12,63,100,8,2,7.0,17.1,51.3,3.54,2,66,80,52
S00237,22,30,9.6,8,11,76,110,3,4,8.2,8.8,31.7,2.6,4,49,100,54
S00238,14,24,2.0,9,13,53,110,4,4,6.3,13.7,24.0,2.09,7,49,100,26
S00239,14,26,4.0,8,13,83,120,8,3,7.7,7.3,24.2,2.43,6,58,100,28
S00240,14,28,13.4,11,11,103,120,7,3,8.4,26.8,62.3,3.44,4,82,90,53
S00241,13,30,2.9,5,12,67,100,3,1,5.9,32.1,50.9,2.65,6,36,80,9
S00242,24,28,6.1,10,12,61,90,7,3,6.9,8.1,6.1,2.82,2,48,80,20
S00243,26,30,9.5,10,12,84,100,10,1,6.7,4.8,0,2.65,2,63,80,39
S00244,26,30,9.9,10,13,86,120,10,1,8.0,9.4,32.3,3.33,2,64,80,52
S00245,24,24,17.0,13,13,81,90,9,6,6.5,26.6,7.0,2.71,0,74,90,25
S00246,16,28,6.0,6,11,62,90,0,1,6.0,21.4,52.8,2.87,7,53,100,39
S00247,21,26,5.1,8,13,53,100,6,2,7.2,1.8,0,2.15,6,46,100,41
S00248,15,28,4.4,8,13,78,120,3,0,6.3,18.2,27.0,2.98,6,54,80,21
S00249,17,26,7.3,7,12,75,100,7,3,7.0,5.4,13.6,2.39,1,59,100,34
S00250,21,30,6.6,8,10,110,120,6,3,7.5,17.9,29.1,2.81,2,68,80,48
S00251,15,26,2.7,11,13,61,90,5,4,7.5,1.8,0.9,2.47,6,56,80,28
S00252,20,28,7.7,7,13,76,110,0,0,7.1,8.8,19.1,3.23,5,56,100,4
S00253,18,28,6.3,8,10,69,90,7,5,7.5,12.7,20.6,3.99,2,81,100,55
S00254,30,30,14.1,12,12,112,120,7,5,9.1,14.5,1.1,2.84,0,79,90,67
S00255,15,24,0.1,6,13,71,120,0,0,6.8,9.3,27.9,1.7,6,21,80,2
S00256,27,30,11.6,11,12,87,110,4,4,7.4,16.1,23.1,2.99,1,85,100,17
S00257,15,28,4.6,7,12,40,90,11,1,7.3,27.5,20.4,3.09,4,46,80,28
S00258,19,30,4.0,5,11,57,90,7,1,7.1,26.5,9.2,2.79,5,59,90,18
S00259,25,30,8.8,11,13,86,110,6,0,8.0,18.5,57.9,3.14,4,67,90,31
S00260,23,26,4.6,7,10,59,100,4,4,8.1,6.2,21.7,3.23,5,66,100,55
S00261,17,24,9.5,9,11,79,110,11,5,5.9,23.8,18.0,2.67,0,57,80,12
S00262,22,30,3.6,8,11,80,110,8,3,5.4,5.9,37.1,2.5,3,51,80,35
S00263,19,24,7.5,6,11,57,100,7,0,6.6,0,20.2,2.28,1,42,80,40
S00264,20,26,6.1,8,11,67,100,3,1,6.6,14.4,6.0,3.42,3,77,100,45
S00265,16,26,8.2,10,13,65,90,6,0,7.9,17.1,47.0,2.76,6,87,100,23
S00266,27,30,7.1,8,11,101,120,3,1,8.5,3.8,22.7,3.0,2,63,90,65
S00267,22,30,6.9,7,11,69,100,5,4,7.7,13.7,24.0,2.93,6,73,100,53
S00268,18,26,5.4,8,12,79,120,2,2,5.9,27.8,36.2,2.75,3,40,80,4
S00269,14,28,5.4,8,11,51,90,2,3,5.6,20.0,25.5,2.12,6,58,90,27
S00270,19,26,5.0,9,11,85,120,11,5,8.2,17.8,39.9,2.17,1,42,80,48
S00271,13,30,8.6,8,11,89,120,0,0,6.5,33.1,42.4,2.24,8,60,80,32
S00272,28,28,4.8,8,11,78,100,9,3,8.3,6.8,2.6,2.27,5,55,100,43
S00273,18,30,3.3,7,10,67,110,2,2,7.5,0,20.5,2.88,5,55,90,27
S00274,28,28,5.6,8,10,81,110,3,3,6.5,13.1,24.9,3.31,0,66,100,33
S00275,19,30,2.4,6,11,50,100,0,1,8.0,7.8,35.4,3.13,6,51,90,36
S00276,17,30,6.3,9,12,57,110,1,1,7.2,6.6,28.2,3.49,5,51,80,6
S00277,17,26,7.3,12,12,102,110,5,3,7.4,1.8,25.8,3.62,7,78,90,44
S00278,20,28,11.9,9,11,85,90,0,3,8.1,8.4,37.8,2.67,1,67,90,49
S00279,24,26,11.2,11,11,72,90,7,5,5.8,2.7,25.8,3.71,0,92,100,50
S00280,17,24,11.7,10,11,60,100,7,4,8.4,20.7,38.1,3.22,5,77,90,48
S00281,10,26,4.0,9,13,80,110,3,3,7.0,23.6,71.0,2.6,6,66,100,5
S00282,24,30,9.9,10,10,73,90,4,4,8.3,14.4,34.1,2.47,2,70,100,37
S00283,18,26,3.7,9,11,79,120,3,2,7.6,12.2,39.6,2.87,9,71,90,22
S00284,17,28,2.2,9,12,53,90,4,1,6.7,16.4,37.6,1.92,3,40,80,29
S00285,17,26,0,6,11,75,120,0,1,8.7,13.2,16.2,2.2,3,63,90,12
S00286,12,26,2.0,8,13,88,120,0,0,8.0,3.3,21.5,3.57,3,52,80,13
S00287,19,26,10.7,8,11,44,90,8,2,6.3,0,16.7,2.27,4,64,100,43
