profile_id,account_age_days,bio_length,profile_picture_quality,posts_count,followers_count,following_count,posts_last_30_days,external_link_count,username_digit_count,username_length,repeated_captions,recent_posts_sampled,avg_caption_length,night_posts,likes_last_20_posts,comments_last_20_posts,dm_sent_last_7_days,dm_replies_last_7_days
P00278,163,25,0.403,21,0,35,8,1,4,12,11,25,56.6,10,750,8,96,8
P00279,1,4,0.157,0,0,1404,108,2,4,18,8,16,49.9,14,929,60,152,12
P00280,540,52,0.614,203,1788,537,0,0,1,7,1,10,169.6,3,2014,0,0,8
P00281,749,61,0.735,203,10,367,19,0,0,12,4,15,49.3,0,2458,392,8,11
P00282,1467,9,0.799,75,10,589,16,1,0,12,6,26,89.5,2,0,0,19,16
P00283,729,46,0.704,590,166,813,6,0,1,11,1,24,7.6,2,1075,0,19,2
P00284,921,102,0.581,118,1875,875,2,0,0,11,4,28,34.7,4,430,0,0,9
P00285,12,46,0.492,20,365,1525,17,2,2,21,14,24,31.4,12,244,48,120,21
P00286,650,82,0.819,485,1054,531,18,0,2,8,6,30,69.9,8,1092,19,15,0
P00287,820,49,0.642,470,10,342,0,0,0,11,8,23,117.7,2,3128,293,40,11
P00288,1,37,0.39,0,119,2008,56,0,4,6,6,12,0,4,322,0,56,19
P00289,855,70,0.837,747,671,515,3,1,1,10,5,26,94.5,5,2802,202,28,0
P00290,579,67,0.709,141,1180,630,0,0,0,7,1,29,75.3,3,1094,95,4,13
P00291,1054,102,0.702,465,1298,776,34,0,1,10,3,12,92.2,2,322,30,12,6
P00292,110,35,0.116,64,434,2549,53,0,4,11,9,20,63.7,16,0,36,0,5
P00293,1674,41,0.624,118,1765,1086,14,0,1,11,0,27,99.6,9,2815,58,4,4
P00294,207,43,0.719,0,0,1540,58,0,5,16,8,30,21.3,16,166,8,142,10
P00295,1187,4,0.716,298,894,141,36,1,0,7,4,16,39.6,0,1377,41,0,0
P00296,786,55,0.818,415,10,253,23,0,1,14,2,16,47.4,3,0,4,24,9
P00297,37,1,0.385,13,299,1037,8,3,3,12,5,21,67.2,5,361,18,53,0
P00298,1,46,0.554,55,1031,2409,14,0,3,12,3,19,20.0,8,180,7,61,11
P00299,1201,0,0.845,141,453,858,12,1,0,14,3,10,115.3,1,286,145,20,10
P00300,940,99,0.768,711,850,522,12,1,3,10,1,21,92.5,1,404,41,0,5
P00301,449,152,0.611,253,102,421,2,0,0,7,2,30,71.3,7,0,0,14,4
P00302,945,133,0.703,507,1781,1085,30,1,1,15,1,16,109.5,6,282,16,39,15
P00303,72,13,0.423,73,783,692,28,2,9,11,18,30,43.7,13,115,28,266,0
P00304,2131,90,0.694,324,1919,738,23,1,2,13,0,25,73.3,8,3159,166,21,6
