Gender,Distance,YearsWorked,HireDate,PreviousSalary,Salary,DepartmentCode
1,~15miles,9,2003-01-17,54K,55K,7
0,<5mile,5,2008-05-17,64K,65K,6
1,~20miles,6,2001-03-28,64K,66K,6
1,>30miles,5,2002-12-27,59K,63K,7
0,~10miles,9,2013-03-20,61K,63K,1
1,~20miles,5,2015-10-31,57K,59K,5
0,~10miles,6,2006-01-30,61K,62K,6
1,~15miles,8,2014-09-26,58K,59K,7
0,~15miles,10,2007-11-11,58K,59K,3
0,~10miles,5,2011-04-29,59K,60K,6
0,~15miles,8,2007-10-07,62K,64K,1
0,~10miles,7,2009-06-13,63K,66K,6
1,~15miles,8,2010-11-28,58K,60K,7
1,~15miles,9,2006-02-25,57K,60K,5
0,>30miles,8,2011-12-30,62K,63K,3
1,~15miles,7,2004-12-09,53K,55K,2
1,~15miles,5,2017-08-20,64K,68K,3
0,>30miles,7,2015-12-16,50K,52K,2
0,~15miles,9,2005-09-22,59K,60K,6
0,<5mile,6,2015-05-31,61K,63K,7
0,~20miles,10,2000-12-19,56K,57K,1
1,~20miles,8,2007-12-08,58K,59K,6
0,~15miles,4,2003-08-02,57K,60K,1
0,<5mile,7,2013-09-15,57K,58K,7
1,~10miles,4,2012-03-15,61K,63K,5
1,>30miles,6,2011-04-27,64K,67K,2
1,~15miles,8,2009-11-27,60K,62K,7
1,~10miles,7,2011-01-28,59K,61K,3
1,~15miles,7,2006-11-26,60K,61K,6
0,~10miles,6,2014-09-28,55K,59K,5
0,~10miles,6,2011-02-05,58K,60K,2
0,~15miles,5,2010-01-19,57K,58K,6
1,~10miles,6,2003-05-26,58K,59K,5
1,~15miles,12,2008-10-02,63K,65K,5
1,>30miles,4,2010-08-04,61K,63K,2
0,~10miles,6,2012-02-20,61K,63K,6
0,>30miles,6,2012-02-16,54K,56K,1
1,~10miles,10,2002-08-22,60K,62K,1
1,~20miles,7,2000-08-11,65K,69K,2
0,~10miles,5,2014-12-27,61K,62K,6
1,~10miles,5,2010-06-24,62K,63K,1
0,~10miles,7,2006-08-27,55K,56K,6
0,~10miles,5,2014-10-12,58K,59K,7
0,~15miles,5,2000-11-21,59K,60K,1
1,~10miles,7,2014-03-03,60K,62K,7
0,~20miles,9,2013-04-01,60K,62K,7
0,~10miles,9,2013-05-11,63K,64K,1
1,>30miles,8,2003-09-17,61K,62K,1
1,~10miles,6,2010-11-25,66K,69K,2
0,~15miles,6,1999-09-17,65K,68K,6
1,>30miles,6,1999-08-05,57K,60K,6
1,<5mile,5,2009-06-10,58K,60K,3
0,~15miles,9,2012-11-17,62K,64K,7
1,~10miles,9,2008-06-21,61K,62K,6
0,~10miles,9,2000-08-10,57K,57K,6
0,~20miles,5,2002-07-09,57K,58K,5
1,~15miles,6,2010-12-22,62K,66K,2
0,~15miles,11,2009-08-02,59K,60K,5
0,~10miles,8,2003-08-08,61K,63K,7
0,~20miles,7,2002-10-14,57K,60K,1
0,~15miles,5,1999-12-02,60K,62K,1
0,~20miles,4,2013-07-14,58K,60K,7
1,~20miles,9,2007-06-14,62K,63K,6
0,>30miles,3,2012-07-14,63K,64K,1
1,~15miles,7,2014-06-24,62K,65K,1
0,~15miles,6,2004-12-13,55K,57K,2
0,~20miles,5,2004-06-20,55K,57K,5
1,~15miles,9,2000-01-03,57K,59K,6
1,~15miles,5,2009-10-26,56K,58K,3
1,~15miles,6,2006-01-11,54K,55K,7
0,~10miles,10,2004-07-29,59K,62K,7
1,>30miles,7,2009-05-05,60K,62K,7
0,~10miles,6,2010-05-23,64K,66K,3
0,~10miles,9,2011-03-18,60K,64K,1
1,~20miles,8,2005-10-02,53K,55K,3
1,>30miles,8,2001-03-10,55K,57K,3
0,~20miles,9,2012-04-25,59K,62K,1
1,~10miles,3,2008-01-26,59K,63K,7
0,~15miles,6,2006-05-13,58K,60K,2
0,~15miles,9,2012-02-27,60K,61K,1
0,~15miles,6,2003-12-22,57K,59K,2
1,~15miles,7,2015-10-16,56K,58K,1
1,~20miles,6,1999-02-25,58K,61K,6
0,~20miles,7,2010-12-11,59K,62K,5
0,~15miles,8,2011-12-21,58K,59K,6
0,~10miles,8,2011-10-13,60K,61K,3
0,~20miles,7,2010-05-30,53K,55K,1
1,~10miles,6,2013-11-17,56K,57K,5
0,~10miles,6,2008-11-21,57K,60K,3
1,~15miles,7,2013-09-19,62K,64K,7
0,>30miles,4,1999-08-29,62K,64K,1
1,~20miles,6,2003-10-17,60K,61K,3
0,~15miles,7,2013-04-08,62K,64K,2
0,~15miles,9,2003-07-21,62K,64K,5
0,~10miles,3,2009-07-06,58K,58K,2
0,~10miles,8,2003-12-05,61K,64K,1
1,~20miles,10,2001-10-08,58K,61K,2
1,~20miles,4,2003-08-31,58K,58K,7
0,~20miles,7,2015-04-30,58K,61K,3
0,>30miles,8,2007-07-31,65K,68K,2
0,~15miles,9,2007-04-27,53K,54K,1
0,~10miles,4,2016-08-21,62K,63K,1
0,<5mile,6,2016-07-18,56K,58K,1
1,~15miles,8,2001-03-16,60K,62K,2
1,~20miles,7,2014-10-10,59K,60K,2
0,~15miles,6,2005-12-25,60K,63K,2
0,~10miles,9,2009-04-23,60K,61K,3
1,~15miles,6,2005-08-19,64K,67K,5
0,>30miles,2,2006-03-09,59K,61K,2
0,~20miles,6,2015-05-24,59K,60K,3
1,~15miles,5,2017-01-16,62K,63K,2
0,~20miles,6,2006-07-28,60K,61K,7
0,~20miles,10,2002-04-18,61K,62K,5
0,~15miles,8,1999-12-29,62K,64K,1
0,~15miles,9,2008-07-21,56K,58K,3
0,~20miles,4,2011-07-13,60K,62K,3
1,~15miles,6,2005-06-14,53K,54K,6
0,~10miles,4,2014-12-25,63K,64K,3
1,~20miles,9,2008-09-10,63K,64K,2
0,~10miles,4,2017-01-28,58K,59K,1
0,~15miles,6,2004-10-31,61K,63K,3
0,~10miles,7,2012-02-27,61K,63K,1
0,~10miles,4,2015-02-17,57K,58K,7
1,~15miles,7,2005-05-22,59K,60K,1
0,~20miles,6,2016-12-07,54K,57K,3
1,~10miles,8,2006-06-25,65K,66K,5
1,~10miles,7,2000-05-02,64K,65K,1
1,~10miles,6,2014-08-18,56K,58K,2
1,~15miles,9,2003-12-30,56K,58K,2
1,~15miles,4,2018-11-15,55K,57K,3
1,~10miles,9,2004-12-05,57K,60K,6
1,~15miles,9,2004-03-12,59K,60K,3
0,~15miles,8,2008-01-30,59K,62K,5
0,>30miles,5,2001-09-15,60K,62K,3
1,>30miles,5,2012-07-06,63K,67K,5
0,<5mile,10,2002-09-23,60K,62K,6
1,~10miles,4,2011-01-31,55K,56K,5
0,~15miles,9,1999-11-28,61K,63K,1
0,~15miles,7,2010-07-14,63K,64K,6
1,~15miles,7,2008-11-20,61K,62K,6
0,~10miles,7,2000-04-06,59K,61K,3
0,~10miles,3,2015-01-19,62K,63K,1
0,~20miles,7,2015-08-03,62K,63K,6
0,~15miles,4,2003-03-17,64K,67K,6
0,~20miles,9,2004-06-09,56K,58K,1
0,<5mile,5,2015-07-02,59K,61K,7
0,>30miles,7,2009-12-11,59K,61K,2
1,~10miles,6,1999-07-24,61K,62K,3
0,>30miles,6,2004-07-03,61K,63K,1
0,<5mile,7,2014-07-23,58K,61K,5
0,~15miles,7,2008-10-14,59K,60K,7
0,~15miles,11,2001-04-03,60K,61K,1
0,<5mile,9,1999-12-29,58K,59K,2
1,<5mile,8,2009-11-03,53K,54K,5
0,>30miles,6,2005-06-15,60K,63K,3
0,~20miles,8,2007-09-07,58K,60K,1
0,>30miles,9,2006-12-14,58K,61K,3
0,~15miles,10,2012-05-29,62K,63K,2
0,>30miles,7,2004-10-03,59K,62K,7
0,~20miles,9,2004-11-15,59K,61K,6
1,<5mile,4,2001-07-23,56K,57K,1
1,~15miles,7,2006-09-23,65K,67K,2
1,<5mile,10,2012-09-03,65K,67K,3
1,~15miles,6,2012-10-30,60K,62K,6
1,~10miles,4,2009-10-04,59K,62K,1
1,~20miles,4,2008-01-28,59K,60K,3
1,~20miles,8,2005-12-20,54K,56K,1
1,~10miles,9,2014-01-03,59K,60K,6
0,~10miles,7,2004-07-04,60K,61K,6
1,~15miles,6,2001-01-29,61K,64K,5
0,~20miles,5,2010-02-24,57K,59K,5
0,~15miles,5,2013-09-03,61K,62K,7
1,>30miles,9,2004-04-13,61K,62K,6
1,<5mile,6,2007-02-11,56K,58K,2
0,~10miles,7,2004-02-04,55K,57K,5
0,~15miles,3,2006-01-15,59K,60K,6
1,~20miles,5,2016-12-20,58K,60K,7
0,>30miles,5,2011-06-03,61K,62K,1
1,~15miles,9,2005-05-17,61K,62K,5
1,~10miles,7,2006-09-02,61K,63K,2
0,~10miles,7,2006-03-25,61K,62K,3
0,~10miles,5,1999-03-10,63K,64K,3
1,~15miles,9,2004-01-24,58K,60K,6
1,~10miles,6,2001-11-21,60K,61K,3
1,~20miles,7,2010-08-06,61K,62K,7
0,<5mile,4,2017-03-01,57K,59K,6
0,>30miles,9,2010-08-05,57K,58K,1
0,~10miles,8,2003-02-19,62K,64K,5
1,~20miles,8,2013-02-10,58K,60K,2
0,~10miles,11,2009-11-28,62K,64K,1
0,~15miles,9,2011-08-29,62K,63K,6
0,~15miles,8,2003-04-16,56K,57K,2
0,~15miles,7,2004-12-01,60K,62K,7
0,~10miles,5,2010-11-15,55K,56K,6
1,~20miles,8,2005-06-09,60K,62K,2
0,~20miles,5,2011-11-28,60K,63K,7
0,~20miles,5,2016-07-15,59K,61K,6
0,~10miles,7,2002-09-25,60K,62K,1
0,>30miles,7,2007-08-16,57K,58K,6
1,~15miles,9,2007-03-12,63K,65K,7
1,~20miles,9,2011-11-15,59K,61K,7
0,~10miles,7,2002-12-19,65K,66K,1
1,~10miles,4,2017-09-05,56K,58K,2
0,~20miles,8,2000-01-21,55K,57K,1
0,~15miles,4,2007-02-05,59K,61K,7
1,<5mile,8,2008-07-24,59K,61K,1
0,~20miles,5,2002-06-11,62K,64K,7
0,~10miles,9,2007-10-15,60K,61K,3
1,<5mile,4,2014-12-22,60K,61K,3
0,~10miles,7,2012-04-08,61K,65K,1
0,~15miles,8,2010-09-22,57K,58K,3
0,~20miles,5,2011-07-31,64K,66K,7
1,~10miles,6,2016-04-23,65K,68K,3
0,~20miles,7,2006-11-15,59K,61K,7
0,~10miles,9,2012-06-02,57K,60K,2
1,>30miles,3,1999-05-03,60K,62K,5
1,~20miles,7,2013-07-04,55K,56K,7
0,~10miles,5,2010-05-12,61K,63K,6
1,~15miles,10,2000-09-14,56K,57K,2
0,~20miles,6,2010-12-18,61K,63K,3
1,~10miles,8,2008-02-29,60K,62K,7
1,<5mile,9,1999-07-18,61K,63K,3
1,<5mile,8,2000-02-23,63K,64K,6
1,~10miles,7,2002-02-10,64K,65K,1
0,~10miles,7,2013-05-29,62K,63K,6
0,~15miles,8,2013-05-01,63K,64K,6
0,~10miles,9,2013-04-05,61K,62K,5
1,~15miles,10,1999-09-26,63K,64K,3
1,~20miles,6,2011-06-13,57K,59K,2
0,~10miles,7,2004-05-22,57K,59K,7
1,~15miles,6,2006-01-24,61K,62K,6
0,~10miles,5,2012-04-30,60K,62K,1
0,~10miles,7,2007-03-16,59K,61K,3
1,<5mile,6,2004-06-22,64K,66K,3
1,~10miles,2,2013-05-02,55K,56K,6
0,~10miles,9,2009-04-09,63K,65K,3
0,~15miles,10,2009-11-09,59K,60K,7
1,~10miles,8,1999-10-06,54K,55K,3
1,~10miles,8,2000-08-04,54K,55K,1
0,~20miles,8,2003-06-14,62K,64K,5
0,~10miles,4,2007-03-12,61K,62K,6
1,~20miles,6,2006-12-18,64K,68K,5
0,~15miles,4,2016-06-28,56K,58K,1
0,~10miles,7,2004-03-26,58K,59K,6
1,~15miles,8,2007-08-23,62K,64K,7
0,>30miles,7,2006-08-24,60K,62K,2
0,<5mile,11,2009-04-24,60K,60K,5
1,<5mile,7,2015-05-18,59K,60K,5
1,~20miles,5,1999-02-04,63K,66K,7
0,~10miles,7,2008-03-12,66K,67K,1
0,<5mile,5,2015-10-28,63K,65K,5
1,~20miles,4,2008-06-28,56K,58K,6
1,<5mile,7,1999-07-03,58K,59K,1
1,~20miles,6,1999-06-12,56K,57K,2
0,~20miles,7,2001-03-23,59K,60K,6
0,~15miles,6,2008-11-11,61K,62K,6
0,~20miles,5,2004-01-14,56K,59K,5
1,~10miles,4,2007-11-21,60K,62K,1
0,~10miles,8,2005-08-31,56K,57K,3
0,~10miles,6,2007-07-29,57K,60K,7
1,<5mile,6,2001-04-28,62K,66K,2
0,~15miles,10,2007-09-11,62K,63K,7
1,~10miles,6,2014-09-20,58K,60K,6
0,~15miles,6,2000-07-24,60K,61K,7
0,~20miles,7,2012-08-07,63K,66K,7
0,~15miles,8,2002-09-13,64K,65K,7
0,~10miles,6,2003-08-24,59K,61K,3
1,~10miles,10,2009-04-24,60K,64K,5
0,~20miles,9,2009-10-23,61K,62K,1
0,~15miles,8,2008-04-13,61K,62K,6
0,~15miles,4,2014-02-06,58K,59K,3
1,~15miles,8,2013-09-27,63K,65K,1
0,~10miles,8,2001-09-03,60K,62K,7
1,~10miles,10,2000-12-14,62K,63K,6
0,<5mile,6,2003-11-02,61K,63K,5
1,~15miles,7,2015-01-16,60K,61K,7
0,<5mile,6,2016-05-14,57K,58K,6
1,~15miles,8,1999-03-30,58K,59K,2
0,~10miles,3,2007-05-28,65K,66K,1
0,~10miles,3,2015-06-08,61K,63K,7
0,<5mile,10,2008-01-03,60K,62K,3
0,~10miles,4,2017-05-29,61K,64K,6
1,>30miles,7,2013-02-10,55K,57K,3
0,~10miles,8,2007-02-10,63K,64K,6
0,~10miles,9,2013-06-29,59K,61K,1
0,~20miles,9,2008-08-01,66K,68K,7
0,~10miles,7,2006-02-20,62K,63K,5
1,>30miles,7,2010-07-29,55K,58K,3
0,~10miles,7,1999-11-24,65K,66K,2
0,>30miles,8,2013-02-27,58K,60K,3
0,<5mile,5,1999-04-03,59K,61K,1
1,~15miles,7,2011-12-03,57K,59K,6
1,~10miles,7,2008-11-13,64K,66K,3
0,~10miles,7,2004-04-30,59K,61K,3
0,~10miles,4,2015-02-27,56K,59K,1
0,>30miles,12,2008-09-29,60K,62K,3
0,<5mile,5,1999-12-29,60K,61K,5
0,~20miles,6,2001-07-02,59K,60K,7
0,~15miles,7,2007-03-09,61K,62K,3
0,~15miles,11,2009-09-27,61K,64K,7
1,~15miles,4,2016-05-30,60K,61K,2
0,~20miles,8,2012-08-14,60K,62K,5
0,>30miles,9,2009-04-20,60K,61K,7
0,~20miles,9,2005-11-04,57K,60K,7
0,~15miles,10,2010-12-18,61K,62K,6
0,>30miles,10,2003-10-07,57K,59K,2
1,~10miles,7,2010-10-26,57K,58K,2
1,~20miles,8,2008-10-02,60K,61K,7
1,~15miles,9,2008-07-21,61K,62K,5
0,~15miles,4,2003-04-05,62K,63K,5
0,~20miles,4,2002-09-25,56K,57K,3
0,>30miles,6,2000-06-07,62K,64K,7
0,~15miles,6,2011-01-02,62K,64K,3
0,>30miles,8,2004-05-28,61K,62K,5
0,~20miles,6,2009-12-22,59K,60K,3
1,~10miles,6,2011-03-13,57K,57K,6
1,~15miles,9,2008-04-10,56K,58K,1
1,>30miles,6,2006-06-15,63K,65K,2
0,>30miles,6,2012-12-15,60K,61K,5
1,~15miles,7,2008-03-04,57K,59K,6
1,~15miles,7,1999-07-23,56K,58K,1
0,~20miles,5,2013-03-04,62K,65K,2
0,~15miles,5,2014-06-07,63K,66K,5
0,~10miles,9,2012-11-28,56K,56K,2
0,~10miles,9,2012-09-06,59K,60K,5
1,~15miles,8,2012-08-30,61K,64K,7
0,~10miles,8,2006-02-16,58K,61K,7
0,<5mile,6,2001-03-18,62K,63K,3
0,~15miles,6,2007-09-01,59K,61K,7
0,<5mile,4,1999-09-12,62K,63K,6
1,>30miles,8,2014-08-12,58K,59K,6
0,~15miles,9,2007-09-13,63K,64K,1
0,~10miles,7,2015-08-07,57K,58K,3
0,~15miles,5,2006-06-11,60K,62K,3
1,>30miles,8,2011-11-06,54K,56K,1
0,~15miles,9,2002-02-26,59K,60K,2
1,~10miles,7,2009-04-22,62K,63K,6
0,~20miles,7,2006-02-20,57K,58K,5
1,~15miles,8,2000-06-04,57K,58K,3
0,~10miles,5,2008-12-16,61K,62K,7
1,~10miles,3,2009-05-27,56K,58K,7
0,~20miles,7,2004-06-19,62K,66K,3
0,,7,2013-06-09,61K,62K,2
0,~15miles,7,2008-12-05,63K,64K,5
0,~10miles,7,2006-07-18,57K,59K,6
0,~15miles,7,2007-08-05,53K,54K,6
1,<5mile,11,2004-07-07,60K,63K,1
1,~20miles,8,2007-05-13,63K,66K,3
0,~20miles,7,2016-02-08,59K,60K,1
1,~10miles,8,2010-01-23,55K,57K,2
0,~10miles,8,2002-09-25,63K,65K,5
0,~15miles,7,2011-09-30,54K,56K,5
0,~10miles,8,2000-03-07,59K,63K,7
0,~15miles,6,2016-08-29,58K,62K,1
0,~10miles,7,2002-07-16,55K,56K,2
0,~20miles,9,2004-03-20,60K,60K,6
0,~10miles,10,1999-04-04,64K,65K,3
0,~15miles,4,2014-01-20,55K,56K,3
1,~20miles,8,2013-10-01,62K,65K,7
1,~10miles,7,2008-11-07,57K,58K,3
0,~20miles,8,2003-08-25,63K,66K,3
0,~15miles,8,2009-07-06,60K,61K,6
0,~15miles,7,2010-02-06,56K,58K,5
0,~10miles,7,2003-09-08,60K,61K,7
1,~20miles,7,2014-07-23,64K,66K,3
0,>30miles,9,2004-09-14,63K,64K,5
0,~20miles,8,2013-03-24,61K,63K,3
0,~15miles,8,2007-08-14,55K,56K,5
0,~15miles,11,2007-11-01,60K,61K,6
1,>30miles,6,2003-06-27,62K,64K,1
1,>30miles,8,2014-10-09,61K,62K,2
1,~15miles,8,2003-10-16,58K,59K,5
0,~10miles,7,2011-04-25,59K,61K,1
0,~10miles,5,2016-10-13,58K,59K,3
1,~10miles,8,2009-10-09,54K,55K,1
0,~20miles,7,2014-10-15,62K,64K,1
0,~10miles,6,2011-11-23,60K,61K,5
0,~20miles,8,2012-03-14,62K,64K,5
0,~20miles,7,2001-12-11,62K,63K,7
0,~20miles,9,2001-05-17,57K,59K,1
0,~20miles,6,2004-09-04,61K,62K,6
1,~10miles,4,2007-07-03,61K,62K,3
1,~15miles,8,2014-08-09,58K,59K,7
0,~20miles,7,2007-03-08,60K,62K,6
1,~15miles,9,2003-09-17,64K,66K,2
1,~10miles,6,2005-09-21,61K,63K,5
1,~20miles,5,2006-07-21,55K,56K,5
1,~20miles,5,2013-01-18,58K,59K,6
0,~10miles,7,2010-04-26,58K,59K,3
0,~20miles,13,2006-03-29,60K,62K,2
0,~15miles,10,2011-05-03,58K,60K,1
1,~20miles,10,2008-11-18,61K,64K,6
1,>30miles,10,2012-12-20,65K,67K,2
1,<5mile,8,2009-05-29,61K,62K,2
0,>30miles,5,2004-03-10,62K,62K,2
0,~20miles,5,2017-02-21,59K,60K,1
0,~10miles,5,2000-06-29,51K,52K,7
0,~15miles,10,2009-10-23,61K,64K,3
1,~10miles,7,2012-10-07,58K,60K,5
0,~10miles,8,2003-09-15,62K,63K,6
1,~15miles,5,2016-04-11,58K,59K,3
0,~10miles,4,1999-08-09,56K,56K,1
1,~20miles,6,2016-10-14,64K,65K,3
0,<5mile,7,1999-06-15,59K,60K,7
1,~20miles,6,2016-12-22,61K,63K,1
0,~15miles,6,2012-01-08,63K,64K,6
0,>30miles,10,2010-06-09,60K,61K,1
0,>30miles,9,2007-12-14,53K,55K,3
1,~10miles,6,2016-01-17,58K,60K,7
0,~15miles,5,2001-12-09,57K,59K,7
1,~20miles,5,2006-03-02,62K,63K,3
0,~20miles,8,2009-04-26,59K,61K,5
0,~10miles,4,2006-07-04,54K,56K,7
0,>30miles,10,2010-06-09,59K,60K,7
0,~15miles,9,2008-10-15,60K,63K,2
1,~10miles,4,2007-02-17,54K,56K,1
0,~15miles,7,2016-02-10,59K,60K,6
0,>30miles,7,2014-04-05,60K,62K,5
1,~15miles,7,2000-06-21,59K,62K,7
0,~10miles,10,2000-09-03,60K,61K,5
1,~10miles,9,2007-08-07,62K,64K,6
1,~20miles,5,2006-05-09,55K,57K,2
0,~15miles,4,1999-06-28,58K,59K,2
0,~15miles,7,2014-04-09,60K,61K,7
0,~20miles,6,2005-09-06,62K,63K,2
1,<5mile,5,2007-06-02,55K,57K,2
1,~20miles,7,2011-05-03,62K,65K,1
0,~20miles,9,2012-05-29,60K,61K,3
1,<5mile,6,2011-07-02,56K,58K,1
0,~10miles,9,2009-04-07,60K,61K,5
0,~10miles,7,1999-09-29,63K,65K,1
0,~15miles,8,2010-05-21,62K,64K,6
0,,7,2007-05-28,59K,61K,7
0,~20miles,6,2005-06-08,56K,58K,5
0,~10miles,7,2004-05-31,62K,62K,1
0,~10miles,9,2002-07-10,59K,63K,7
1,~15miles,7,2009-10-09,52K,54K,6
0,<5mile,6,2007-11-14,61K,63K,3
0,~20miles,5,2011-03-28,59K,61K,2
0,~15miles,6,2008-09-24,58K,61K,5
1,~10miles,6,2012-12-18,59K,61K,5
0,~15miles,7,1999-12-15,67K,69K,5
1,~10miles,7,2000-04-24,63K,65K,3
0,<5mile,6,2008-03-28,55K,58K,5
0,~10miles,3,2016-10-21,62K,64K,3
1,~20miles,9,2006-07-04,58K,61K,1
0,~15miles,4,2013-08-14,61K,62K,2
0,~15miles,4,2014-05-12,59K,62K,2
1,~10miles,8,2012-05-21,62K,65K,5
1,~15miles,7,2006-11-23,64K,67K,5
0,~15miles,6,2008-08-10,64K,67K,1
0,~15miles,8,2013-02-27,56K,57K,2
0,~15miles,5,2006-04-29,63K,64K,6
0,~10miles,5,2016-09-27,65K,68K,7
0,~10miles,9,2005-02-22,64K,66K,7
1,~20miles,6,2001-02-07,63K,65K,2
0,>30miles,11,2005-08-22,58K,60K,3
0,~20miles,9,2007-11-20,53K,55K,6
1,~10miles,9,2012-08-14,60K,61K,1
0,~15miles,7,2009-10-11,59K,60K,3
1,~10miles,4,2015-10-26,60K,61K,5
1,~20miles,8,2004-05-20,59K,60K,2
1,~15miles,5,2003-06-19,63K,66K,3
1,~10miles,8,2008-08-10,55K,56K,3
0,~20miles,10,2008-06-22,61K,62K,5
1,~20miles,5,2011-11-15,58K,59K,6
0,~10miles,8,2011-05-07,64K,67K,6
0,<5mile,6,2001-01-25,63K,64K,3
1,~20miles,5,2002-05-10,62K,64K,6
1,~15miles,10,2004-09-06,63K,64K,5
0,~15miles,8,2010-05-13,59K,61K,1
0,~15miles,9,2008-12-06,65K,66K,2
0,~10miles,8,2002-08-21,55K,59K,2
1,~10miles,6,2014-06-16,63K,64K,3
1,>30miles,5,2009-05-23,59K,61K,5
0,~15miles,8,2013-03-18,64K,66K,6
0,~10miles,10,2011-11-17,58K,61K,7
